[5, 'preprocessed/PRINCETON/train/plant/m974.ply', 'plant', 1772, 1209, 'triangles', 1.0, 0.3374956078391377, 0.19250901697385425, 1.0728294398118223, 3, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[6, 'preprocessed/PRINCETON/train/plant/m985.ply', 'plant', 4999, 4029, 'triangles', 1.0, 0.6864026629345503, 0.20867660492750134, 1.2307292720690892, 4, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[7, 'preprocessed/PRINCETON/train/plant/m1090.ply', 'plant', 5000, 2518, 'triangles', 1.0, 0.677135218295667, 0.40069622637633684, 1.272426646093423, 5, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[8, 'preprocessed/PRINCETON/train/plant/m1016.ply', 'plant', 5000, 3455, 'triangles', 0.9999999999999999, 0.7387996298991715, 0.6776087072243663, 1.4159726174066465, 6, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[9, 'preprocessed/PRINCETON/train/plant/m1089.ply', 'plant', 5000, 2626, 'triangles', 0.9999999999999999, 0.5617420638182369, 0.5595532950924295, 1.2761873045566499, 7, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[10, 'preprocessed/PRINCETON/train/plant/m984.ply', 'plant', 5000, 2963, 'triangles', 0.9999999999999999, 0.534727698975504, 0.435245331798783, 1.2146490072874014, 8, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[11, 'preprocessed/PRINCETON/train/plant/m1045.ply', 'plant', 4998, 8667, 'triangles', 1.0, 0.6491295545973088, 0.6435497071235585, 1.354815634760139, 9, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[12, 'preprocessed/PRINCETON/train/plant/m1022.ply', 'plant', 5000, 3796, 'triangles', 1.0000000000000002, 0.9926766973446826, 0.8937954601293878, 1.6686153990656598, 10, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[13, 'preprocessed/PRINCETON/train/plant/m979.ply', 'plant', 5000, 3423, 'triangles', 1.0, 0.4816395753944485, 0.48290795178550355, 1.2104448647021537, 11, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[14, 'preprocessed/PRINCETON/train/plant/m1075.ply', 'plant', 3300, 1668, 'triangles', 0.9999999999999999, 0.528905030315256, 0.3997427111389376, 1.1998061369244157, 12, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[15, 'preprocessed/PRINCETON/train/plant/m1071.ply', 'plant', 5000, 2812, 'triangles', 1.0, 0.6488884082692941, 0.6511492388638922, 1.3583267271386823, 13, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[16, 'preprocessed/PRINCETON/train/plant/m983.ply', 'plant', 4999, 2722, 'triangles', 0.961570219257093, 1.0, 0.8755357393929436, 1.6404816724110276, 14, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[18, 'preprocessed/PRINCETON/train/plant/m1047.ply', 'plant', 4999, 7935, 'triangles', 0.9999999999999999, 0.6384561924655118, 0.6107851488530884, 1.334423024290666, 15, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[19, 'preprocessed/PRINCETON/train/plant/m1000.ply', 'plant', 4999, 4361, 'triangles', 0.917863591928417, 0.9999999999999999, 0.7400709555222691, 1.5460202432683021, 16, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[20, 'preprocessed/PRINCETON/train/plant/m1038.ply', 'plant', 5000, 2822, 'triangles', 1.0, 0.5915851083641899, 0.24787311681894594, 1.1880294703751288, 17, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[21, 'preprocessed/PRINCETON/train/plant/m1036.ply', 'plant', 4792, 2443, 'triangles', 1.0000000000000002, 0.6008602253483852, 0.3721053963231298, 1.2245388668304924, 18, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[22, 'preprocessed/PRINCETON/train/plant/m1054.ply', 'plant', 4999, 11586, 'triangles', 1.0, 0.8622824165361153, 0.8553472556071815, 1.5732609108288744, 19, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[23, 'preprocessed/PRINCETON/train/plant/m978.ply', 'plant', 4999, 3963, 'triangles', 1.0, 0.4637241077626001, 0.46116359261660567, 1.1948689916787003, 20, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[24, 'preprocessed/PRINCETON/train/plant/m1018.ply', 'plant', 4999, 3755, 'triangles', 0.8982525087374355, 0.985037888859753, 1.0000000000000002, 1.6664804865171317, 21, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[25, 'preprocessed/PRINCETON/train/plant/m1049.ply', 'plant', 4998, 9072, 'triangles', 1.0000000000000002, 0.4749297293199134, 0.47350756086432305, 1.2040629792446769, 22, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[26, 'preprocessed/PRINCETON/train/plant/m1067.ply', 'plant', 4999, 2854, 'triangles', 1.0, 0.6813359986676798, 0.591811518741403, 1.3470187885829545, 23, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[27, 'preprocessed/PRINCETON/train/plant/m1077.ply', 'plant', 4600, 2406, 'triangles', 0.9999999999999999, 0.7483986008573001, 0.7364741237480272, 1.449998138176594, 24, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[28, 'preprocessed/PRINCETON/train/plant/m998.ply', 'plant', 4546, 2498, 'triangles', 1.0, 0.5286148186325301, 0.49589724584969574, 1.2350496771058306, 25, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[29, 'preprocessed/PRINCETON/train/plant/m1040.ply', 'plant', 5000, 8643, 'triangles', 1.0000000000000002, 0.6511176903046341, 0.5779074897507124, 1.325870021283237, 26, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[31, 'preprocessed/PRINCETON/train/plant/m1002.ply', 'plant', 5000, 4209, 'triangles', 1.0, 0.9956771658374266, 0.7650950616955754, 1.6052238074489822, 27, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[32, 'preprocessed/PRINCETON/train/plant/m1012.ply', 'plant', 5000, 3328, 'triangles', 0.9999999999999999, 0.8628113185978852, 0.7565422537970006, 1.5221036604912512, 28, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[33, 'preprocessed/PRINCETON/train/plant/m1096.ply', 'plant', 4998, 2776, 'triangles', 1.0, 0.5576624636132451, 0.5367668618063113, 1.2645576646624659, 29, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[34, 'preprocessed/PRINCETON/train/plant/m987.ply', 'plant', 4999, 2960, 'triangles', 0.9999999999999999, 0.557548469897047, 0.4746252466942749, 1.239406882780687, 30, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[35, 'preprocessed/PRINCETON/train/plant/m1095.ply', 'plant', 4544, 3270, 'triangles', 1.0, 0.9623175411809841, 0.9075256818434386, 1.658209248939956, 31, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[36, 'preprocessed/PRINCETON/train/plant/m1061.ply', 'plant', 4998, 2619, 'triangles', 1.0, 0.7038261895341117, 0.8620820383044252, 1.4961807196462664, 32, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[37, 'preprocessed/PRINCETON/train/plant/m1041.ply', 'plant', 5000, 9065, 'triangles', 0.9999999999999999, 0.5326047740198754, 0.5622648216975281, 1.264835789747948, 33, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[38, 'preprocessed/PRINCETON/train/plant/m1052.ply', 'plant', 4999, 3320, 'triangles', 0.9878355454078238, 1.0, 0.9397201312411454, 1.6908261264337763, 34, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[39, 'preprocessed/PRINCETON/train/plant/m1073.ply', 'plant', 5000, 3879, 'triangles', 0.9999999999999999, 0.8736156846321125, 0.6966885179938118, 1.4995263437297954, 35, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[40, 'preprocessed/PRINCETON/train/plant/m1065.ply', 'plant', 5000, 5549, 'triangles', 0.7252152422654783, 1.0, 0.5452611229021183, 1.3502765789876736, 36, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[41, 'preprocessed/PRINCETON/train/plant/m1028.ply', 'plant', 5000, 4326, 'triangles', 1.0, 0.9040537222785002, 0.845523099124666, 1.5912958379631963, 37, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[42, 'preprocessed/PRINCETON/train/plant/m980.ply', 'plant', 5000, 2748, 'triangles', 1.0, 0.4226751116172329, 0.39832869821824507, 1.156425527997753, 38, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[44, 'preprocessed/PRINCETON/train/plant/m1057.ply', 'plant', 5000, 2670, 'triangles', 1.0, 0.8247271025792038, 0.8674648377780609, 1.5597019069392735, 39, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[45, 'preprocessed/PRINCETON/train/plant/m996.ply', 'plant', 4999, 2935, 'triangles', 1.0000000000000002, 0.6810358213976391, 0.5570489993979947, 1.3319584744867479, 40, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[46, 'preprocessed/PRINCETON/train/plant/m1043.ply', 'plant', 5000, 3239, 'triangles', 1.0, 0.8060577258698944, 0.7696483964933611, 1.4973602477892045, 41, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[47, 'preprocessed/PRINCETON/train/plant/m975.ply', 'plant', 5000, 2516, 'triangles', 1.0000000000000002, 0.6485242870438332, 0.16976704633117887, 1.2039122064775842, 42, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[48, 'preprocessed/PRINCETON/train/plant/m988.ply', 'plant', 5000, 2593, 'triangles', 1.0, 0.21919943611360632, 0.22326657065409894, 1.047805494528524, 43, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[49, 'preprocessed/PRINCETON/train/plant/m982.ply', 'plant', 5000, 2532, 'triangles', 1.0000000000000002, 0.3457066159266617, 0.36605026571450316, 1.1196007597912407, 44, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[50, 'preprocessed/PRINCETON/train/plant/m986.ply', 'plant', 5000, 2742, 'triangles', 1.0, 0.6322814649853352, 0.4808049042718739, 1.2770877835669274, 45, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[51, 'preprocessed/PRINCETON/train/plant/m1069.ply', 'plant', 5000, 5982, 'triangles', 1.0, 0.980562790176952, 0.9836875367250095, 1.711474380581762, 46, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[52, 'preprocessed/PRINCETON/train/plant/m992.ply', 'plant', 4999, 2842, 'triangles', 0.9999999999999999, 0.8690459421512102, 0.8334275709047527, 1.5651972289502947, 47, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[53, 'preprocessed/PRINCETON/train/plant/m1026.ply', 'plant', 4999, 3116, 'triangles', 0.9999999999999999, 0.9780425219540527, 0.9547355992128752, 1.693542807003889, 48, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[54, 'preprocessed/PRINCETON/train/plant/m1098.ply', 'plant', 4999, 4213, 'triangles', 0.9408080422160157, 1.0, 0.8296267749014329, 1.6041821461204726, 49, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[55, 'preprocessed/PRINCETON/train/plant/m1093.ply', 'plant', 4130, 2501, 'triangles', 1.0, 0.7351155846534123, 0.681341760169061, 1.4158465725319966, 50, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[3, 'preprocessed/PRINCETON/train/plant/m1006.ply', 'plant', 5000, 3885, 'triangles', 0.9999999999999999, 0.9895629570940537, 0.6155272001962535, 1.5356134214815156, 2, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[58, 'preprocessed/PRINCETON/train/plant/m1034.ply', 'plant', 3956, 2049, 'triangles', 1.0000000000000002, 0.4697535443211368, 0.43549855721229636, 1.1875720549660398, 52, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[59, 'preprocessed/PRINCETON/train/plant/m1097.ply', 'plant', 4999, 2666, 'triangles', 1.0, 0.4074469298574236, 0.0044711901637845275, 1.079830075609918, 53, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[60, 'preprocessed/PRINCETON/train/plant/m1050.ply', 'plant', 5000, 5639, 'triangles', 1.0, 0.534676013548662, 0.5738499853060013, 1.2708982040667092, 54, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[61, 'preprocessed/PRINCETON/train/plant/m1091.ply', 'plant', 4999, 3158, 'triangles', 0.9999999999999999, 0.7869830565675815, 0.61513447818004, 1.413411743820704, 55, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[63, 'preprocessed/PRINCETON/train/plant/m1024.ply', 'plant', 5000, 4219, 'triangles', 1.0, 0.962725316663728, 0.8808969575432735, 1.6440253906659321, 56, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[64, 'preprocessed/PRINCETON/train/plant/m1094.ply', 'plant', 3856, 3148, 'triangles', 1.0, 0.545764249891468, 0.5204721593589725, 1.2524974591301126, 57, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[65, 'preprocessed/PRINCETON/train/plant/m1055.ply', 'plant', 5000, 10823, 'triangles', 1.0000000000000002, 0.49596008470705294, 0.4621712776826018, 1.2081302477536917, 58, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[66, 'preprocessed/PRINCETON/train/plant/m981.ply', 'plant', 3314, 1899, 'triangles', 1.0, 0.2772539331560182, 0.41047440656754625, 1.1159565322616563, 59, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[67, 'preprocessed/PRINCETON/train/plant/m1014.ply', 'plant', 4999, 5080, 'triangles', 1.0, 0.797665371549143, 0.7276843619102327, 1.4716638799458708, 60, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[68, 'preprocessed/PRINCETON/train/plant/m1004.ply', 'plant', 5000, 4592, 'triangles', 1.0, 0.8145787808056553, 0.876226773604655, 1.5592664778415686, 61, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[69, 'preprocessed/PRINCETON/train/plant/m1046.ply', 'plant', 5000, 2278, 'triangles', 1.0, 0.8531337888301572, 0.5292556645882409, 1.4170211078676422, 62, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
